Slot,Unsplash photo id,Photographer,Source page
"static:home-hero","Y47w3a8uR94","Ernesto Samaniego","https://unsplash.com/photos/artist-applies-ink-to-printing-plate-with-gloved-hand-Y47w3a8uR94"
"static:home-hero-inset","zC3gXdE_w60","Andy Brown","https://unsplash.com/photos/a-desk-with-a-notebook-pens-and-a-box-of-cards-zC3gXdE_w60"
"static:home-why","eWuUwZWuWvE","Immo Wegmann","https://unsplash.com/photos/linen-tester-on-color-calibration-chart-eWuUwZWuWvE"
"static:about-hero","yZMbGeJwGL4","Samia Liamani","https://unsplash.com/photos/three-people-standing-near-table-inside-room-yZMbGeJwGL4"
"static:about-studio","KAzgxInZXMo","Magnus Andersson","https://unsplash.com/photos/man-in-black-crew-neck-t-shirt-wearing-black-framed-eyeglasses-using-computer-KAzgxInZXMo"
"static:contact-office","Fr6zexbmjmc","David Rodrigo","https://unsplash.com/photos/burj-khalifa-and-highway-in-dubai-Fr6zexbmjmc"
"static:process-hero","NDGIibZRa_0","Andre William","https://unsplash.com/photos/white-printer-papers-NDGIibZRa_0"
"static:industries-hero","0adHvNJu-Zo","Brands&People","https://unsplash.com/photos/yellow-and-white-labeled-can-0adHvNJu-Zo"
"static:blog-hero","8dgFq8Vbelo","Andy Brown","https://unsplash.com/photos/a-desk-with-a-keyboard-pencils-and-various-color-samples-8dgFq8Vbelo"
"work:storefront-signage","WZpNVE-oFbg","Scott Webb","https://unsplash.com/photos/gray-studio-signage-WZpNVE-oFbg"
"work:packaging-suite","fMveBTz2qWw","Mildlee","https://unsplash.com/photos/brown-cardboard-box-on-white-table-fMveBTz2qWw"
"work:delivery-van-livery","IsvZEgPkehk","Łukasz Mrowiec","https://unsplash.com/photos/custom-white-van-with-cherry-blossom-artwork-and-chrome-wheels-IsvZEgPkehk"
"work:corporate-stationery","X1ld4znbBpo","Mockup Free","https://unsplash.com/photos/a-folded-brochure-is-shown-on-a-white-surface-X1ld4znbBpo"
"work:exhibition-stand","zABKkmNQGMU","maxine guo","https://unsplash.com/photos/yellow-surfboard-displayed-at-outdoor-exhibition-zABKkmNQGMU"
"work:counter-display","YDde9egYzhw","Vishnu Kalanad","https://unsplash.com/photos/interior-view-of-a-well-lit-retail-store-with-merchandise-displays-YDde9egYzhw"
"work:office-wall-graphics","p_TQxkyyroE","byhome work","https://unsplash.com/photos/two-plants-in-front-of-a-wall-with-logo-p_TQxkyyroE"
"work:event-stage","bzdhc5b3Bxs","Teemu Paananen","https://unsplash.com/photos/person-discussing-while-standing-in-front-of-a-large-screen-in-front-of-people-inside-dim-lighted-room-bzdhc5b3Bxs"
"work:reception-sign","FDcydLvV7Io","Random Institute","https://unsplash.com/photos/white-and-brown-table-FDcydLvV7Io"
"work:roll-labels","inMtJzduxIg","pmv chamara","https://unsplash.com/photos/a-group-of-black-and-gold-products-on-a-black-surface-inMtJzduxIg"
"work:window-campaign","rgTvdYnlMBA","Eris Marasigan","https://unsplash.com/photos/a-display-of-mannequins-in-a-store-window-rgTvdYnlMBA"
"work:company-profile","PjhOkwN0ruY","Brando Makes Branding","https://unsplash.com/photos/open-notebook-page-PjhOkwN0ruY"
"work:standee-promo","MMYtcyI38O4","Chris Weiher","https://unsplash.com/photos/tulip-bulbs-are-for-sale-at-a-shop-MMYtcyI38O4"
"work:car-wrap","0UeHGWsFyHM","Deniz Demirci","https://unsplash.com/photos/a-man-working-on-a-car-in-a-garage-0UeHGWsFyHM"
"work:wayfinding","pAoOSyIHoNA","Filipe Lourenço Marques","https://unsplash.com/photos/text-pAoOSyIHoNA"
"work:menu-set","eIgwkkVW53o","Hyoshin Choi","https://unsplash.com/photos/two-people-sitting-at-a-table-with-a-menu-in-front-of-them-eIgwkkVW53o"
"cat:business-stationery","S0qh0ONK-AE","Ana Cruz","https://unsplash.com/photos/flat-lay-photography-of-white-printer-papers-S0qh0ONK-AE"
"cat:marketing-promotional","Ue7ttHJXf2o","Mockup Free","https://unsplash.com/photos/a-folded-brochure-with-a-black-and-white-photo-Ue7ttHJXf2o"
"cat:large-format","_9dSF0Hwitw","Pawel Czerwinski","https://unsplash.com/photos/turned-off-signage-_9dSF0Hwitw"
"cat:outdoor-signage","5Wp-np9UUjw","Eli Nir","https://unsplash.com/photos/neon-sign-for-plant-warehouse-at-night-5Wp-np9UUjw"
